"vendor_pub_code","asin","item_name","new_reviews_count","ALL_REVIEWS"
"CUT99","B01E07KCWO","Shimano Caenan 151 A left handed baitcast fishing reel, gear ratio 6.3:1, CAE151A","1","www.amazon.com/product-reviews/B01E07KCWO"
"CUT68","B0071B79QO","Carnisport - 5 Form L-Carnitine Caffeine Free Fat Burner, Weight Management and Recovery Supplement with Green Tea for additional muscle preserving weight loss, 120 capsules","1","www.amazon.com/product-reviews/B0071B79QO"
"CSMZ9","B0007TJDG6","Scosche Se10 10-Inch Sealed Subwoofer Enclosure","2","www.amazon.com/product-reviews/B0007TJDG6"
"CUT68","B01GZJCF6G","MUTANT BCAA Powder 9.7, Branched Chain Amino Acids with L-Arginine & Electrolytes for Muscle Building and Nitric Oxide Enhancement, Blue Raspberry, 30 Servings","1","www.amazon.com/product-reviews/B01GZJCF6G"
"CSMZ9","B00GDULGG8","Pioneer TS-W3003D4 Champion Series Pro Subwoofer with Dual 4 ff Voice Coils and 2000W Max Power(one speaker)","3","www.amazon.com/product-reviews/B00GDULGG8"
"CSMZ9","B0015C68H6","SCOSCHE KA2069B 2006-12 Kia Select vehicles  Double DIN Dash Install Kit","1","www.amazon.com/product-reviews/B0015C68H6"
"CSMZ9","B00DHQ6K7Q","iSimple ISFM23 TranzIt Universal Bluetooh Enabled FM Transmitter Car Kit, Blue","1","www.amazon.com/product-reviews/B00DHQ6K7Q"
"CSMZ9","B001EAWOE0","PAC AAI-GM9 Auxiliary Input For GM 9-PIN","1","www.amazon.com/product-reviews/B001EAWOE0"
"CSMZ9","B0015ASMIQ","PAC C2R-FRD1 Radio Replacement Interface for Select 2005-up CAN-bus Ford, Lincoln and Mercury Vehicles","1","www.amazon.com/product-reviews/B0015ASMIQ"
"CSMZ9","B0036W7OTY","Kicker 10C104 Comp 10-Inch Subwoofer 4 Ohm (Black)","1","www.amazon.com/product-reviews/B0036W7OTY"
"CUT68","B00XRYPI3K","Modrn Men, 2-In-1, 60 Capsules","1","www.amazon.com/product-reviews/B00XRYPI3K"
"CSMZ9","B003B01AHS","iSimple IS335 Dash Mountable Auxiliary Input Adapter","2","www.amazon.com/product-reviews/B003B01AHS"
"CSMZ9","B000NWEJXE","SCOSCHE SI2221B 2004-08 Suzuki Select / Chevy Aveo DIN w/Pocket Dash Kit","1","www.amazon.com/product-reviews/B000NWEJXE"
"CSMZ9","B000EIQMHS","Scosche GM1483B Single Din Installation Kit for Select 1995-2005 Chevrolet/Gmc Trucks","1","www.amazon.com/product-reviews/B000EIQMHS"
"CSMZ9","B00LUX1F5K","iSimple ISHD01 MediaLinx HDMI To Composite Video/Audio Adapter Cable (Black)","1","www.amazon.com/product-reviews/B00LUX1F5K"
